1;Just Chatting;2;2021;240445690;3202966 hours;1138978;13308;444507;358339;4773;75.07;https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-285x380.jpg
2;League of Legends;2;2021;150221076;3665750 hours;703375;9687;268439;223876;5463;40.98;https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-285x380.jpg
3;Grand Theft Auto V;2;2021;137704722;2006058 hours;506815;6008;175699;205223;2989;68.64;https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-285x380.jpg
4;Fortnite;2;2021;107665720;6523956 hours;541227;18890;644071;160455;9722;16.5;https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-285x380.jpg
5;Minecraft;2;2021;82415310;3524597 hours;647145;9853;450593;122824;5252;23.38;https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-285x380.jpg
6;Call of Duty: Warzone;2;2021;73419748;3228772 hours;305415;8963;202041;109418;4811;22.74;https://static-cdn.jtvnw.net/ttv-boxart/Call%20of%20Duty:%20Warzone-285x380.jpg
7;VALORANT;2;2021;70228871;2945356 hours;289898;7382;266828;104662;4389;23.84;https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-285x380.jpg
8;Counter-Strike: Global Offensive;2;2021;67578481;1507029 hours;607485;4460;161814;100713;2245;44.84;https://static-cdn.jtvnw.net/ttv-boxart/Counter-Strike:%20Global%20Offensive-285x380.jpg
9;Apex Legends;2;2021;51757131;4059568 hours;208798;13184;303619;77134;6050;12.75;https://static-cdn.jtvnw.net/ttv-boxart/Apex%20Legends-285x380.jpg
10;Rust;2;2021;44335563;599060 hours;331005;3092;47558;66073;892;74.01;https://static-cdn.jtvnw.net/ttv-boxart/Rust-285x380.jpg
11;Dota 2;2;2021;38907873;614150 hours;218653;1725;29522;57984;915;63.35;https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-285x380.jpg
12;FIFA 21;2;2021;37502320;974524 hours;257659;4445;115245;55890;1452;38.48;https://static-cdn.jtvnw.net/ttv-boxart/FIFA%2021-285x380.jpg
13;Escape From Tarkov;2;2021;36725699;1137023 hours;123010;2722;51456;54732;1694;32.3;https://static-cdn.jtvnw.net/ttv-boxart/Escape%20from%20Tarkov-285x380.jpg
14;Valheim;2;2021;35735732;1510021 hours;188897;5307;118705;53257;2250;23.67;https://static-cdn.jtvnw.net/ttv-boxart/Valheim-285x380.jpg
15;World of Warcraft;2;2021;29403463;1407371 hours;139533;6182;74435;43820;2097;20.89;https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Warcraft-285x380.jpg
16;Tom Clancy's Rainbow Six Siege;2;2021;25312837;1115909 hours;187752;3167;135002;37724;1663;22.68;https://static-cdn.jtvnw.net/ttv-boxart/Tom%20Clancy%27s%20Rainbow%20Six%20Siege-285x380.jpg
17;Music;2;2021;23304514;879404 hours;161030;2709;54368;34731;1310;26.5;https://static-cdn.jtvnw.net/ttv-boxart/Music-285x380.jpg
18;Chess;2;2021;22069662;104789 hours;370111;306;16604;32890;156;210.61;https://static-cdn.jtvnw.net/ttv-boxart/Chess-285x380.jpg
19;PLAYERUNKNOWN'S BATTLEGROUNDS;2;2021;20043349;631560 hours;172924;1538;40534;29870;941;31.74;https://static-cdn.jtvnw.net/ttv-boxart/PUBG:%20BATTLEGROUNDS-285x380.jpg
20;Rocket League;2;2021;19693087;1170093 hours;227721;3652;254500;29348;1743;16.83;https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-285x380.jpg
21;Among Us;2;2021;19534202;385226 hours;324430;1883;83756;29112;574;50.71;https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-285x380.jpg
22;Hearthstone;2;2021;18929798;169759 hours;75751;421;13555;28211;252;111.51;https://static-cdn.jtvnw.net/ttv-boxart/Hearthstone-285x380.jpg
23;Dead by Daylight;2;2021;18129050;1060997 hours;62534;2641;87275;27017;1581;17.09;https://static-cdn.jtvnw.net/ttv-boxart/Dead%20by%20Daylight-285x380.jpg
24;Slots;2;2021;17019922;104140 hours;72877;265;4712;25365;155;163.43;https://static-cdn.jtvnw.net/ttv-boxart/Slots-285x380.jpg
25;Teamfight Tactics;2;2021;14073803;275998 hours;79479;671;31885;20974;411;50.99;https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-285x380.jpg
26;Path of Exile;2;2021;13332160;284633 hours;57055;739;11971;19869;424;46.84;https://static-cdn.jtvnw.net/ttv-boxart/Path%20of%20Exile-285x380.jpg
27;Overwatch;2;2021;12638505;843839 hours;72588;2361;89223;18835;1257;14.98;https://static-cdn.jtvnw.net/ttv-boxart/Overwatch-285x380.jpg
28;Genshin Impact;2;2021;11423836;605789 hours;77074;3475;59903;17025;902;18.86;https://static-cdn.jtvnw.net/ttv-boxart/Genshin%20Impact-285x380.jpg
29;Call of Duty: Black Ops Cold War;2;2021;11325673;1264277 hours;140677;4848;140065;16878;1884;8.96;https://static-cdn.jtvnw.net/ttv-boxart/Call%20of%20Duty:%20Black%20Ops%20Cold%20War-285x380.jpg
30;Call Of Duty: Modern Warfare;2;2021;10918065;4761582 hours;48998;13827;363852;16271;7096;2.29;https://static-cdn.jtvnw.net/ttv-boxart/Call%20Of%20Duty:%20Modern%20Warfare-285x380.jpg
31;Garena Free Fire;2;2021;10560305;285590 hours;506272;843;25814;15738;425;36.98;https://static-cdn.jtvnw.net/ttv-boxart/Garena%20Free%20Fire-285x380.jpg
32;ARK: Survival Evolved;2;2021;9847443;353330 hours;386433;1074;31582;14675;526;27.87;https://static-cdn.jtvnw.net/ttv-boxart/Ark:%20Survival%20Evolved-285x380.jpg
33;Art;2;2021;9563939;606963 hours;63409;1382;60735;14253;904;15.76;https://static-cdn.jtvnw.net/ttv-boxart/Art-285x380.jpg
34;Destiny 2;2;2021;7879773;669141 hours;48725;3560;48714;11743;997;11.78;https://static-cdn.jtvnw.net/ttv-boxart/Destiny%202-285x380.jpg
35;Little Nightmares II;2;2021;7557622;201706 hours;125493;1893;35743;11263;300;37.47;https://static-cdn.jtvnw.net/ttv-boxart/Little%20Nightmares%20II-285x380.jpg
36;Talk Shows & Podcasts;2;2021;6923576;166414 hours;124418;626;17053;10318;248;41.6;https://static-cdn.jtvnw.net/ttv-boxart/Talk%20Shows%20&%20Podcasts-285x380.jpg
37;ASMR;2;2021;6385889;86445 hours;23643;185;4493;9516;128;73.87;https://static-cdn.jtvnw.net/ttv-boxart/ASMR-285x380.jpg
